vehicle,year,fuel_type,engine_volume,vehicle_type,kpp_type,mileage,need_repair,prediction,true_value
Volkswagen Golf,1993,бензин,1.4,хэтчбек,механика,327461.0,0,968867.1,950000
Toyota Hilux Surf,1994,дизель,3.0,внедорожник,автомат,-999.0,0,2875221.8,2400000
Toyota Camry,2005,бензин,3.0,седан,автомат,-999.0,0,5153485.5,5900000
ВАЗ (Lada) Largus,2014,бензин,1.6,фургон,механика,134500.0,0,3031920.8,3500000
BMW 525,1990,бензин,2.5,седан,механика,-999.0,0,1505743.1,1600000
Renault,2016,бензин,2.0,кроссовер,автомат,87000.0,0,11987915.0,7100000
Nissan X-Trail,2013,бензин,2.0,кроссовер,вариатор,115000.0,0,7159277.5,7700000
Audi A6,2015,бензин,1.8,седан,автомат,53250.0,0,8493127.0,11600000
Toyota 4Runner,2021,бензин,4.0,внедорожник,автомат,-999.0,0,37976220.0,35700000
Daewoo Nexia,2013,газ-бензин,1.6,седан,механика,156000.0,0,1583967.0,2350000
BMW 525,1995,бензин,2.5,седан,механика,-999.0,0,2298109.2,2600000
Nissan Maxima,1997,бензин,3.0,седан,автомат,-999.0,0,2414791.5,2500000
Mitsubishi Delica,1996,дизель,2.8,минивэн,автомат,21500.0,0,3126409.0,3400000
Toyota Camry,2003,бензин,2.4,седан,автомат,-999.0,0,4372763.5,4700000
Ford Bronco Sport,2020,бензин,2.0,внедорожник,автомат,-999.0,0,25742218.0,24570000
Mitsubishi Montero Sport,1997,бензин,3.0,внедорожник,автомат,206000.0,0,3586922.0,3000000
Subaru Forester,2005,бензин,2.0,кроссовер,автомат,250000.0,0,4515154.0,4000000
Ford Mustang,2016,бензин,3.7,купе,автомат,-999.0,0,19298600.0,10000000
Toyota Alphard,2007,бензин,3.0,минивэн,автомат,87500.0,1,3136524.2,2250000
ВАЗ (Lada) 2104,1999,бензин,1.5,универсал,механика,87456.0,0,1432536.5,480000
Volkswagen Golf,2012,бензин,2.0,хэтчбек,механика,146000.0,0,6689835.0,6200000
Lexus LX 570,2018,бензин,5.7,внедорожник,автомат,19000.0,0,43589944.0,46300000
Volkswagen Passat,2003,бензин,2.0,седан,механика,230000.0,0,2203612.0,2550000
Toyota HiAce Regius,1997,бензин,2.7,минивэн,автомат,-999.0,0,2958198.2,4800000
